train_loss,val_loss
0.2862717807292938,0.21471600234508514
0.150543212890625,0.2248860001564026
0.12258253693580627,0.26190507411956787
0.10123970955610276,0.30848535895347595
0.08868871480226517,0.27650973200798035
0.0847425788640976,0.2565183639526367
0.08181150257587433,0.1805841475725174
0.08117439746856689,0.11829903721809387
0.0798452690243721,0.10170098394155502
0.07861816734075547,0.08680511265993118
0.07710734307765961,0.068360336124897
0.07654430270195008,0.0639391839504242
0.07482131868600846,0.06155973672866821
0.07274352610111237,0.06205357611179352
0.07052932530641556,0.06546346098184586
0.06934314370155334,0.06993229687213898
0.06699679493904113,0.07123174518346786
0.06470112055540085,0.07188297808170319
0.06274141520261764,0.06843817234039307
0.06144085079431534,0.0683814212679863
0.060222160816192624,0.06631254404783249
0.05994244068861008,0.0653449222445488
0.05833246409893036,0.06652162224054337
0.05785243734717369,0.06486976891756058
0.05703204646706581,0.06659851968288422
0.057068561762571336,0.06544499844312668
0.05632271245121956,0.06761432439088821
0.05631406232714653,0.06489701569080353
0.055300209671258926,0.06552889198064804
0.05607125014066696,0.06289086490869522
0.055918965488672256,0.06278199702501297
0.055020763725042346,0.06358760595321655
0.05487865135073662,0.060461100190877914
0.05471381098031998,0.05879576876759529
0.054323353618383405,0.05979740619659424
0.05438959375023842,0.05645278841257095
0.05493115782737732,0.05421854183077812
0.0547666035592556,0.05611814558506012
0.05398300513625145,0.05435195565223694
0.05387765988707542,0.0550808310508728
0.05337093099951744,0.05512511357665062
0.05337207540869713,0.05493089184165001
0.0535558320581913,0.053747616708278656
0.053384413570165636,0.05538155883550644
0.05330168083310127,0.056200865656137466
0.05322740226984024,0.05815418064594269
0.05360742956399918,0.05545888468623161
0.053828508406877515,0.054508525878190994
0.054127299785614015,0.04895361512899399
0.054006416350603104,0.04749411344528198
0.05336982309818268,0.0503024123609066
0.05256716310977936,0.05453212931752205
0.052859024703502656,0.05367651581764221
0.05223164409399032,0.050784721970558167
0.052204257994890216,0.05205662176012993
0.05240189507603645,0.053101081401109695
0.052505771070718764,0.04886353015899658
0.05213156640529633,0.048196692019701004
0.051778842508792874,0.048720501363277435
0.051812724024057386,0.04809613525867462
0.05194929242134094,0.04786131903529167
0.0525291197001934,0.05190837010741234
0.051975084096193315,0.0506049208343029
0.05187678560614586,0.04885386675596237
0.051424605399370195,0.049974314868450165
0.05164223685860634,0.04990437254309654
0.051665859669446944,0.052074480801820755
0.05151874125003815,0.05253467708826065
0.05196100398898125,0.05350736901164055
0.05188155919313431,0.051287807524204254
0.05188716650009155,0.04869337007403374
0.051506543159484865,0.048881806433200836
0.05104678496718407,0.047260213643312454
0.051303359866142276,0.045482486486434937
0.05150519832968712,0.04988517612218857
0.05102040246129036,0.0476197823882103
0.05101270377635956,0.04833424836397171
0.051287044584751126,0.04725831001996994
0.05092548131942749,0.04669119045138359
0.05143522247672081,0.047113604843616486
0.05095334127545357,0.04642443731427193
0.05082639679312706,0.04371921718120575
0.05113893747329712,0.04569961503148079
0.050713568925857544,0.04647957533597946
0.05100941210985184,0.04613978788256645
0.05087561011314392,0.04336588457226753
0.05073743090033531,0.04669516161084175
0.05039262101054191,0.045500319451093674
0.04995151162147522,0.044161442667245865
0.04982323870062828,0.04221170023083687
0.050584477186203,0.04334310069680214
0.05008668750524521,0.04407515749335289
0.05024917721748352,0.044399090111255646
0.0499317966401577,0.04507168009877205
0.05019078701734543,0.04666901379823685
0.05017917677760124,0.045792143791913986
0.050358131527900696,0.04401585832238197
0.05046231672167778,0.04302530363202095
0.05046006962656975,0.043748125433921814
0.04933288991451264,0.04353734850883484
0.050730352848768236,0.04368544742465019
0.050173816829919816,0.04402999207377434
0.04954928010702133,0.04572296142578125
0.049914366006851195,0.042551327496767044
0.049667582660913465,0.041388072073459625
0.04956659227609635,0.04255880415439606
0.04954914376139641,0.04349711164832115
0.050023910403251645,0.04449678584933281
0.0499553844332695,0.0433446504175663
0.04959866553544998,0.043084803968667984
0.04983872026205063,0.0432279109954834
0.05021297708153725,0.0439082495868206
0.0496037632226944,0.044599588960409164
0.049808090180158617,0.04303041100502014
0.04933431148529053,0.040791504085063934
0.05045516937971115,0.041784629225730896
0.05003251954913139,0.04381829500198364
0.0498564176261425,0.04149000346660614
0.04962251409888267,0.040936075150966644
0.04934513568878174,0.04262619465589523
0.049826107919216156,0.041909921914339066
0.04949392005801201,0.041718047112226486
0.04909266158938408,0.04256807267665863
0.04950566589832306,0.04205111414194107
0.04943180903792381,0.041771143674850464
0.04913124442100525,0.0421852208673954
0.049273382127285006,0.04229544848203659
0.04943790212273598,0.042147230356931686
0.049226919561624526,0.04255956783890724
0.04964752122759819,0.04223829507827759
0.04956178218126297,0.04265153035521507
0.04914367496967316,0.041408248245716095
0.04959829896688461,0.04167129099369049
0.049281515181064606,0.04163884371519089
0.049120984971523285,0.04117607697844505
0.04907213747501373,0.04201752692461014
0.04970250800251961,0.04118657484650612
0.04932034611701965,0.04074025899171829
0.049551157653331755,0.04161876440048218
0.049391933530569074,0.04130207374691963
0.04931341707706451,0.04138048738241196
0.04921404793858528,0.04078871011734009
0.04911036342382431,0.041039351373910904
0.04939966723322868,0.042802006006240845
0.04944894015789032,0.04073153808712959
0.04879979565739632,0.04148640111088753
0.04895177334547043,0.040881846100091934
0.04910993725061417,0.041561201214790344
0.04906304553151131,0.04148571938276291
0.0491271123290062,0.0426672138273716
